2023-04-25 14:56:07.067 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-25 14:56:07.068 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-25 14:56:07.117 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-25 14:56:07.118 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-25 14:56:14.580 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-25 14:56:14.582 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-25 14:56:14.583 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-25 14:56:27.910 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-25 14:56:27.933 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-25 14:56:27.933 LOG_INFO  ==============Connect2Client============== server.cpp:48
2023-04-25 14:56:27.934 LOG_INFO  <AnoServer> Server accept complete! server.cpp:200
2023-04-25 14:56:27.969 LOG_INFO  <RecvInfo>recvInfo cols=720 server.cpp:86
2023-04-25 14:56:27.969 LOG_INFO  <RecvInfo>recvInfo rows=960 server.cpp:87
2023-04-25 14:56:27.969 LOG_INFO  <RecvInfo>recvInfo channels=3 server.cpp:88
2023-04-25 14:56:27.970 LOG_INFO  <RecvInfo>recvInfo status=ok server.cpp:89
2023-04-25 14:56:27.970 LOG_INFO  <RecvInfo>recvInfo file_path=demo/sly.jpg server.cpp:90
2023-04-25 14:56:27.970 LOG_INFO  <RecvInfo>recvInfo ano_type=GroundWater server.cpp:91
2023-04-25 14:56:27.995 LOG_INFO  <AnoServer> recv image successful! server.cpp:224
2023-04-25 14:56:27.996 LOG_INFO  <Recognition> start Recognition,Ano_type=FBGW server.cpp:237
2023-04-25 14:57:04.257 LOG_INFO  <Yolov5Detect>recognition type=1 yolov5.cpp:95
2023-04-25 14:59:28.719 LOG_ALARM -----------------  logr4z thread started!  ---------------------------- Logr.cpp:1725
2023-04-25 14:59:28.720 LOG_ALARM logrger id=0 key=Main name=Main path=./log/ level=0 display=true Logr.cpp:1735
2023-04-25 14:59:28.770 LOG_INFO  ----------load model!----------- ano_detect_main.cpp:10
2023-04-25 14:59:28.771 LOG_INFO  <load model>load GroundWater model DeepNet.cpp:88
2023-04-25 14:59:34.600 LOG_INFO  <load model>load GroundWater model successful! DeepNet.cpp:99
2023-04-25 14:59:34.602 LOG_INFO  <load model>ALL modl load successful! ano_detect_main.cpp:14
2023-04-25 14:59:34.602 LOG_INFO  ----------AnoServer start!----------- ano_detect_main.cpp:19
2023-04-25 14:59:49.709 LOG_INFO  <InitServer> server bind complete! server.cpp:30
2023-04-25 14:59:49.749 LOG_INFO  <AnoServer> Server Start Listening ... server.cpp:193
2023-04-25 14:59:49.749 LOG_INFO  ==============Connect2Client============== server.cpp:48
